"SensorName","Date","Time","User","SensorID","delta_t","Unit","Value","Unit.1","Mode","Phase","Unit.2","Amplitude","Unit.3","Temp","Unit.4","patm","Unit.5","Salinity","Unit.6","Error","Cal0","Unit.7","T0","Unit.8","O2.2nd","Unit.9","Cal2nd","Unit.10","T2nd","Unit.11","CalPressure","Unit.12","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal.Mode","SignalLEDCurrent","ReferenceLEDCurrent","ReferenceAmplitude","DeviceSerial","FwVersion","SensorType","BatchID","Calibration.Date","Sensor.lot","PreSens.calibrated.Sensor","Battery.Voltage","Unit.13","Sequence","FileName","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength..mm.","Size","dateTime","TrialID","KrillID","percentDOassumpt","assumedSatDOmg","percentDO","obseveredSatDOmg","actualDOmg","CorTemp","SalinityConstant"
"KrilLR11","28-Oct-19",2019-10-28 14:25:01,"default              ",159906405,0,"min",9.727,"mg/l","humid",27.854,"deg",3400,"uV",11,"∞C",1013,"mbar",30.3,"pmil",1,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38784,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.146,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:01,"Trial01","Trial01_KrilLR11",1.06894166588642,9.09965464947414,1.06894166588642,9.09965464947414,9.727,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:02,"default              ",159906405,0.02,"min",9.579,"mg/l","humid",28.019,"deg",3764,"uV",11,"∞C",1013,"mbar",30.3,"pmil",1,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38753,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.1,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:02,"Trial01","Trial01_KrilLR11",1.05267731238059,9.09965464947414,1.05267731238059,9.09965464947414,9.579,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:03,"default              ",159906405,0.03,"min",9.45,"mg/l","humid",28.165,"deg",4358,"uV",11,"∞C",1013,"mbar",30.3,"pmil",1,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38750,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.1,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:03,"Trial01","Trial01_KrilLR11",1.03850095020321,9.09965464947414,1.03850095020321,9.09965464947414,9.45,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:53,"default              ",159906405,0.87,"min",9.109,"mg/l","humid",28.563,"deg",8021,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38789,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.142,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:53,"Trial01","Trial01_KrilLR11",1.00102700057154,9.09965464947414,1.00102700057154,9.09965464947414,9.109,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:54,"default              ",159906405,0.88,"min",8.949,"mg/l","humid",28.757,"deg",12046,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38756,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.134,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:54,"Trial01","Trial01_KrilLR11",0.983443915700378,9.09965464947414,0.983443915700378,9.09965464947414,8.949,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:55,"default              ",159906405,0.9,"min",8.901,"mg/l","humid",28.815,"deg",12223,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38762,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.133,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:55,"Trial01","Trial01_KrilLR11",0.978168990239028,9.09965464947414,0.978168990239028,9.09965464947414,8.901,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 14:25:56,"default              ",159906405,0.92,"min",8.955,"mg/l","humid",28.749,"deg",11341,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38757,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.132,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 14:25:56,"Trial01","Trial01_KrilLR11",0.984103281383046,9.09965464947414,0.984103281383046,9.09965464947414,8.955,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 15:34:09,"default              ",159906405,69.13,"min",8.203,"mg/l","humid",29.716,"deg",11162,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38504,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.128,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:34:09,"Trial01","Trial01_KrilLR11",0.901462782488568,9.09965464947414,0.901462782488568,9.09965464947414,8.203,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 15:34:10,"default              ",159906405,69.15,"min",8.169,"mg/l","humid",29.762,"deg",12337,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38501,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.127,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:34:10,"Trial01","Trial01_KrilLR11",0.897726376953446,9.09965464947414,0.897726376953446,9.09965464947414,8.169,11,30.3
"KrilLR11","28-Oct-19",2019-10-28 15:34:11,"default              ",159906405,69.17,"min",8.115,"mg/l","humid",29.836,"deg",15968,"uV",11,"∞C",1013,"mbar",30.3,"pmil",0,59,"deg",20,"∞C",100,"%a.s.",27,"deg",20,"∞C",1013,"mbar",0.808,-0.0803,0.000433,0,0,29.87,"humid",12,48.997,38497,"SAAA0005000123","     p1.4.0.6 ","PSt3","191028-0",191028,194400,1,6.129,"V",1,"2019.10.28_RESPR_T1","12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303",2019-10-28 15:34:11,"Trial01","Trial01_KrilLR11",0.891792085809427,9.09965464947414,0.891792085809427,9.09965464947414,8.115,11,30.3
